Medium in data base,,,,,current NAME ,new NAME,Salt,Stress Agent,Carbon sources,Gluconeogenic,Nitrogen sources,Notes,Richness score,Reference,,,,,,,,,,,,,
"Minimal medium P20 mM glutamate: 6,",,,,,defined,,few,no,amino acid,yes,amino acid,,,,,,,,,,,,,,,,
"Minimal medium P20 mM pyruvate: 6,",,,,,defined,,few,no,pyruvate,yes,no,,,,,,,,,,,,,,,,
"M63arginine: 4,",,,,,defined,,few,no,amino acid,yes,salt and amino acid,,,,,,,,,,,,,,,,
"M63: 4,",,,,,defined,,few,no,no,yes,salt,,,,,,,,,,,,,,,,
"AB minimal medium25 µM FeSO4, 20 mM glucose, 50 mM NaNO3: 8,",,,,,defined,,few,NaNO3,glucose,no,salt,,,https://openwetware.org/wiki/AB_medium,,,,,,,,,,,,,
"MOPS6.3u2005mM glucose: 2,",,,,,defined,,many,no,glucose ,no,no,,,,,,,,,,,,,,,,
"Pseudomonas Basal Mineral media0.2 g/l glucose: 6,",,,,,defined,,many,no,glucose,no,salt,,,,,,,,,,,,,,,,
"M91 mM MgsO4, 2% glucose: 6,",,,,,defined,,few,no,glucose,no,salt,,,,,,,,,,,,,,,,
"QSM minimal medium50 µM C30: 2,",,,,,defined,,many,no,amino acid,yes,salt and amino acid,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5414003/#B43,,,,,,,,,,,,,
"M63 minimal media0.5% casamino acids, 0.3% glucose: 5,",,,,,defined,,few,no,glucose and amino acid,both,salt and amino acid,,,,,,,,,,,,,,,,
"Minimal mediumN-acetyl glucosamine: 3,",,,,,defined,,many,no,N-acetyl glucosamine,unknown,salt and N-acetyl glucosamine,MOPS based,,,,,,,,,,,,,,,
"ABT minimal medium0.5% casamino acids: 4,",,,,,defined,,many,no,amino acid,yes,salt and amino acid,,,,,,,,,,,,,,,,
"0.1 x TBS2% casamino acids: 8,",,,,,defined,,few,no,amino acid,yes,salt and amino acid,,,,,,,,,,,,,,,,
"Minimal medium10 mM glutamate: 9,",,,,,defined,,few,no,amino acid and citrate,yes,salt and amino acid,VBMM medium=VB+trisodium citrate,,,,,,,,,,,,,,,
"M63 0.4% arginine, 1 mM MgSO4: 6,",,,,,defined,,few,no,amino acid,yes,salt and amino acid,,,,,,,,,,,,,,,,
"BSM: 8,",,,,,defined,,few,no,no,nan,salt,,,,,,,,,,,,,,,,
CAA: 12,,,,,defined,,few,low iron,amino acid,yes,amino acid,low iron casamino acid medium,,,,,,,,,,,,,,,
"Mouse: 23,",,,,,in vivo,,,,,,,,,,,,,,,,,,,,,,
"Human, CF Sputum: 2,",,,,,in vivo,,,,,,,,,,,,,,,,,,,,,,
"Mouse1500 Units penicillin G/mL: 3,",,,,,in vivo,,,,,,,,,,,,,,,,,,,,,,
"Human, burn wound: 12,",,,,,in vivo,,,,,,,,,,,,,,,,,,,,,,
"Human, CF sputum: 4,",,,,,in vivo,,,,,,,,,,,,,,,,,,,,,,
"Synthetic CF sputum medium100 mM KNO3: 8,",,,,,in-vivo-like,,,,,,,,,,,,,,,,,,,,,,
"CWE-mimic medium: 9,",,,,,in-vivo-like,,,,,,,,,,,,,,,,,,,,,,
"ASMDM: 4,",,,,,in-vivo-like,,,,,,,,,,,,,,,,,,,,,,
"SCFM: 38,",,,,,in-vivo-like,,,,,,,,,,,,,,,,,,,,,,
"artificial urine medium: 6,",,,,,in-vivo-like,,,,,,,,,,,,,,,,,,,,,,
"Plant, Xanthi: 3,",,,,,Plant,,,,,,,,,,,,,,,,,,,,,,
"Plant, Samsun: 3,",,,,,Plant,,,,,,,,,,,,,,,,,,,,,,
"Lettuce: 6,",,,,,Plant,,,,,,,,,,,,,,,,,,,,,,
"Pond Water: 2,",,,,,Poor,,,,,,,,,,,,,,,,,,,,,,
"Tap Water: 3,",,,,,Poor,,,,,,,,,,,,,,,,,,,,,,
"Water1500 Units penicillin G/mL: 3,",,,,,Poor,,,,,,,,,,,,,,,,,,,,,,
"LBNTA: 4,",,,,,rich,,,chelator,,,,,-0.1,,,,,,,,,,,,,,
"LB: 494,",,,,,rich,,,no,,,,,0,,,,,,,,,,,,,,
"PIA: 6,",,,,,rich,,,antibiotic,,,,LB + antibiotic (resistant),0,,,,,,,,,,,,,,
"Medium C: 28,",,,,,rich,,,,,,,,-0.25,,,,,,,,,,,,,,
"Nutrient Broth no. 2: 6,",,,,,rich,,,,,,,,1,,,,,,,,,,,,,,
"TY: 6,",,,,,rich,,,,,,,,-0.25,,,,,,,,,,,,,,
"MEM: 6,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"LANScellophane sheet: 12,",,,,,rich,,,,,,,,-1,,,,,,,,,,,,,,
"LB10g glass wool: 7,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"LB30 ug/ml gentamicin: 8,",,,,,rich,,,antibiotic,,,,,0,,,,,,,,,,,,,,
"LB dil: 10,",,,,,rich,,,,,,,,-1,,,,,,,,,,,,,,
"TSB: 14,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"PY0.05% sodium taurodeoxycholate: 6,",,,,,rich,,,detergent,,,,,0.5,,,,,,,,,,,,,,
"LB10 g glass wool: 17,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"LB25µg/ml piperacillin: 10,",,,,,rich,,,antibiotic,,,,,0,,,,,,,,,,,,,,
"MEM0.4% arginine: 6,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"MEM2% LB: 4,",,,,,rich,,,,,,,,0.25,,,,,,,,,,,,,,
"R2B dil: 2,",,,,,rich,,,,,,,,-0.5,,,,,,,,,,,,,,
"AGSYxa0: 15,",,,,,rich,,,,,,,,-0.25,,,,,,,,,,,,,,
"Mueller Hinton: 6,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"serum-RPMI: 4,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"TB: 4,",,,,,rich,,,,,,,,1,,,,>LB,,,,,,,,,,
"LB100 mM KNO3, 15 mM A-NO2: 9,",,,,,rich,,,nitrate,,,,,0,,,,,,,,,,,,,,
"2YT: 4,",,,,,rich,,,,,,,,0.5,,,,https://link.springer.com/article/10.1007/s00253-011-3516-8/tables/1,,,,,,,,,,
"LB100 µM tetracycline: 9,",,,,,rich,,,antibiotic,,,,,0,,,,,,,,,,,,,,
"BHI: 4,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"LBDMSO: 2,",,,,,rich,,,DMSO,,,,,0,,,,,,,,,,,,,,
"RPMI 1640: 4,",,,,,defined,,,,Glucose and amino acid,both,salt and amino acid,,,,,,,,,,,,,,,,
"MH: 10,",,,,,rich,,,,,,,Same as Mueller Hinton,0,,,,,,,,,,,,,,
"LB2 mM toluate: 4,",,,,,rich,,,Toluate,,,,,0,,,,,,,,,,,,,,
"NYyeast extract: 10,",,,,,rich,,,,,,,,0.1,,,,,,,,,,,,,,
"Nematode Growth Medium: 20,",,,,,rich,,,,,,,,-0.5,,,,,,,,,,,,,,
"0.1 x TY: 12,",,,,,rich,,,,,,,,-1,,,,,,,,,,,,,,
"MHB: 6,",,,,,rich,,,,,,,Same as Mueller Hinton,0,,,,,,,,,,,,,,
"0.1 x LB: 6,",,,,,rich,,,,,,,,-1,,,,,,,,,,,,,,
"King’s A: 6,",,,,,rich,,,,,,,,-0.5,,,,,,,,,,,,,,
"TSA: 10,",,,,,rich,,,,,,,Similar to TSB,0,,,,,,,,,,,,,,
"LB1% KNO3: 2,",,,,,rich,,,Nitrate,,,,,0,,,,,,,,,,,,,,
"PIA150 µg/ml gentamicin: 6,",,,,,rich,,,antibiotic,,,,,0,,,,,,,,,,,,,,
"LB1u2009mM glutamine: 8,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"LB50 mM MOPS, 0.2% l-arabinose: 29,",,,,,rich,,,,,,,,0,,,,,,,,,,,,,,
"PB: 8,",,,,,rich,,,,,,,,-0.5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
